forearmLeft;0.291752;tt;
upperarmLeft;0.29138;tt;
shoulderHalfLeft;0.163474;tt;
neck;0.0854711;tt;
shoulderHalfRight;0.22203;tt;
upperarmRight;0.21343;tt;
forearmRight;0.214221;tt;
shoulder;0.288372;tt;
upperBody;0.266099;tt;
hip;0.142678;tt;
lowerBody;0.369691;tt;
body;0.635753;tt;
lowerLegLeft;0.447733;tt;
upperLegLeft;0.545583;tt;
upperLegRight;0.553552;tt;
lowerLegRight;0.534204;tt;
forearmLeft;0.291907;tt;
upperarmLeft;0.291433;tt;
shoulderHalfLeft;0.164052;tt;
neck;0.0855137;tt;
shoulderHalfRight;0.222515;tt;
upperarmRight;0.212904;tt;
forearmRight;0.214535;tt;
shoulder;0.289421;tt;
upperBody;0.266253;tt;
hip;0.143173;tt;
lowerBody;0.369953;tt;
body;0.63617;tt;
lowerLegLeft;0.44174;tt;
upperLegLeft;0.544022;tt;
upperLegRight;0.553083;tt;
lowerLegRight;0.527954;tt;
forearmLeft;0.292044;tt;
upperarmLeft;0.291629;tt;
shoulderHalfLeft;0.164237;tt;
neck;0.0854411;tt;
shoulderHalfRight;0.222949;tt;
upperarmRight;0.212087;tt;
forearmRight;0.214709;tt;
shoulder;0.291295;tt;
upperBody;0.266031;tt;
hip;0.142933;tt;
lowerBody;0.369647;tt;
body;0.63564;tt;
lowerLegLeft;0.442446;tt;
upperLegLeft;0.544236;tt;
upperLegRight;0.553003;tt;
lowerLegRight;0.528909;tt;
forearmLeft;0.292189;tt;
upperarmLeft;0.291645;tt;
shoulderHalfLeft;0.164022;tt;
neck;0.0854398;tt;
shoulderHalfRight;0.225836;tt;
upperarmRight;0.211902;tt;
forearmRight;0.214858;tt;
shoulder;0.292233;tt;
upperBody;0.266058;tt;
hip;0.142905;tt;
lowerBody;0.369756;tt;
body;0.635775;tt;
lowerLegLeft;0.44224;tt;
upperLegLeft;0.544417;tt;
upperLegRight;0.552635;tt;
lowerLegRight;0.528498;tt;
forearmLeft;0.292342;tt;
upperarmLeft;0.291657;tt;
shoulderHalfLeft;0.16376;tt;
neck;0.0853996;tt;
shoulderHalfRight;0.226211;tt;
upperarmRight;0.211994;tt;
forearmRight;0.214936;tt;
shoulder;0.29252;tt;
upperBody;0.26591;tt;
hip;0.143075;tt;
lowerBody;0.369443;tt;
body;0.635314;tt;
lowerLegLeft;0.442107;tt;
upperLegLeft;0.544939;tt;
upperLegRight;0.552522;tt;
lowerLegRight;0.528793;tt;
forearmLeft;0.292452;tt;
upperarmLeft;0.291854;tt;
shoulderHalfLeft;0.164512;tt;
neck;0.085433;tt;
shoulderHalfRight;0.22629;tt;
upperarmRight;0.212262;tt;
forearmRight;0.215023;tt;
shoulder;0.29621;tt;
upperBody;0.266041;tt;
hip;0.143068;tt;
lowerBody;0.369709;tt;
body;0.635711;tt;
lowerLegLeft;0.442623;tt;
upperLegLeft;0.544309;tt;
upperLegRight;0.551144;tt;
lowerLegRight;0.529732;tt;
forearmLeft;0.217619;tt;
upperarmLeft;0.291973;tt;
shoulderHalfLeft;0.164061;tt;
neck;0.0854747;tt;
shoulderHalfRight;0.235178;tt;
upperarmRight;0.211303;tt;
forearmRight;0.215178;tt;
shoulder;0.30085;tt;
upperBody;0.26622;tt;
hip;0.143269;tt;
lowerBody;0.370105;tt;
body;0.636285;tt;
lowerLegLeft;0.442604;tt;
upperLegLeft;0.543613;tt;
upperLegRight;0.548951;tt;
lowerLegRight;0.531722;tt;
forearmLeft;0.217485;tt;
upperarmLeft;0.291991;tt;
shoulderHalfLeft;0.161275;tt;
neck;0.0854511;tt;
shoulderHalfRight;0.232131;tt;
upperarmRight;0.211718;tt;
forearmRight;0.215217;tt;
shoulder;0.298032;tt;
upperBody;0.265946;tt;
hip;0.143055;tt;
lowerBody;0.369247;tt;
body;0.635158;tt;
lowerLegLeft;0.442838;tt;
upperLegLeft;0.544111;tt;
upperLegRight;0.549896;tt;
lowerLegRight;0.531116;tt;
forearmLeft;0.217521;tt;
upperarmLeft;0.291935;tt;
shoulderHalfLeft;0.161715;tt;
neck;0.0854791;tt;
shoulderHalfRight;0.233625;tt;
upperarmRight;0.211564;tt;
forearmRight;0.215328;tt;
shoulder;0.297929;tt;
upperBody;0.266057;tt;
hip;0.14327;tt;
lowerBody;0.369443;tt;
body;0.635464;tt;
lowerLegLeft;0.443523;tt;
upperLegLeft;0.544228;tt;
upperLegRight;0.54872;tt;
lowerLegRight;0.532077;tt;
forearmLeft;0.217521;tt;
upperarmLeft;0.291864;tt;
shoulderHalfLeft;0.161558;tt;
neck;0.0854625;tt;
shoulderHalfRight;0.233627;tt;
upperarmRight;0.211399;tt;
forearmRight;0.2154;tt;
shoulder;0.29774;tt;
upperBody;0.26599;tt;
hip;0.143215;tt;
lowerBody;0.369362;tt;
body;0.635315;tt;
lowerLegLeft;0.443849;tt;
upperLegLeft;0.544089;tt;
upperLegRight;0.548488;tt;
lowerLegRight;0.532115;tt;
forearmLeft;0.217062;tt;
upperarmLeft;0.291962;tt;
shoulderHalfLeft;0.166374;tt;
neck;0.0854027;tt;
shoulderHalfRight;0.234552;tt;
upperarmRight;0.21136;tt;
forearmRight;0.214516;tt;
